"us" "led" "dir" "war2" "warcri" "warcase" "scmedian" "lctdir" "analu" "value" "term" "nyt" "rally2" "crisis" "sgwin" "uswin" "bef75" "scm" "scm2"
"354/0476" "001/1498" 0 0 0 0  0.455 0 0 3 1956 1 0 0 NA  1 1 0.955 0.912025
"355/0066" "002/0095" 0 0 0 0  0.460 1 0 1 1957 0 0 0 NA NA 1 0.960 0.921600
"355/0096" "002/0126" 1 0 0 0  0.460 0 0 1 1957 1 0 0 NA  0 1 0.960 0.921600
"355/0107" "002/0134" 0 0 0 0  0.460 0 0 1 1957 0 0 0 NA  1 1 0.960 0.921600
"355/0115" "002/0140" 1 0 0 0  0.460 0 0 3 1957 0 0 0 NA  0 1 0.960 0.921600
"355/0155" "002/0167" 1 0 0 0  0.460 0 0 1 1957 0 0 0 NA NA 1 0.960 0.921600
"355/0184" "002/0199" 1 0 0 0  0.460 0 0 1 1957 1 0 0 NA  0 1 0.960 0.921600
"355/0220" "002/0223" 1 0 0 0  0.460 0 0 4 1957 0 0 0 NA NA 1 0.960 0.921600
"355/0225" "002/0228" 1 0 0 0  0.460 0 0 4 1957 0 0 0 NA NA 1 0.960 0.921600
"355/0233" "002/0234" 0 0 0 0  0.460 1 0 1 1957 0 0 0 NA  1 1 0.960 0.921600
"355/0273" "002/0264" 1 0 0 0  0.460 0 0 2 1957 0 0 0 NA  0 1 0.960 0.921600
"355/0286" "002/0282" 0 0 0 0  0.460 1 0 1 1957 0 0 0 NA  1 1 0.960 0.921600
"355/0313" "002/0302" 1 0 0 0  0.460 0 0 3 1957 1 0 0 NA NA 1 0.960 0.921600
"355/0339" "002/0321" 0 0 0 0  0.460 0 0 1 1957 0 0 0 NA  1 1 0.960 0.921600
"355/0570" "002/0496" 0 0 0 0  0.460 1 0 1 1957 0 0 0 NA  1 1 0.960 0.921600
"356/0148" "002/0589" 0 0 0 0  0.460 0 0 1 1957 0 0 0 NA  1 1 0.960 0.921600
"356/0044" "002/0603" 0 0 0 0  0.460 0 0 2 1957 0 0 0 NA  1 1 0.960 0.921600
"356/0086" "002/0630" 1 0 0 2  0.460 0 0 2 1957 0 0 0 NA  0 1 0.960 0.921600
"356/0129" "002/0659" 1 0 0 2  0.460 0 0 2 1957 0 0 0 NA  0 1 0.960 0.921600
"356/0165" "002/0672" 0 0 0 0  0.460 0 0 1 1957 1 0 0 NA  1 1 0.960 0.921600
"356/0369" "002/0848" 1 0 0 0  0.460 0 0 1 1957 0 0 0 NA  0 1 0.960 0.921600
"356/0386" "002/0859" 0 0 0 0  0.460 0 0 1 1957 0 0 0 NA  1 1 0.960 0.921600
"356/0390" "002/0863" 0 0 0 0  0.460 0 0 1 1957 0 0 0 NA NA 1 0.960 0.921600
"356/0405" "002/0873" 0 0 0 0  0.460 1 0 1 1957 0 0 0 NA  1 1 0.960 0.921600
"356/0464" "002/0913" 0 0 0 0  0.460 0 0 1 1957 0 0 0 NA NA 1 0.960 0.921600
"356/0560" "002/0975" 1 0 0 0  0.460 0 0 1 1957 0 0 0 NA NA 1 0.960 0.921600
"356/0584" "002/0991" 1 0 0 0  0.460 0 0 2 1957 0 0 0 NA NA 1 0.960 0.921600
"356/0660" "002/1048" 1 0 0 0  0.460 0 0 2 1957 0 0 0 NA  0 1 0.960 0.921600
"356/0670" "002/1056" 1 0 0 0  0.460 0 0 2 1957 0 0 0 NA  0 1 0.960 0.921600
"356/0691" "002/1087" 1 0 0 0  0.460 0 0 2 1957 0 0 0 NA  0 1 0.960 0.921600
"357/0017" "002/1109" 1 0 0 0  0.460 0 0 4 1957 0 0 0 NA  1 1 0.960 0.921600
"357/0116" "002/1204" 1 0 0 0  0.460 0 0 3 1957 1 0 0 NA  0 1 0.960 0.921600
"357/0144" "002/1221" 1 0 0 0  0.460 0 0 3 1957 1 0 0 NA  0 1 0.960 0.921600
